景区名称,评论日期,评论内容
A01,2020/10/18,取票很方便缆车很棒 一定要做 还有园内的表演节目也很不错 熊猫馆最喜欢 大熊猫都很可爱 长颈鹿 天鹅湖都可以很近距离接触 孩子很高兴
A01,2020/8/8,可以可以可以可以可以可以可以可以可以可以可以，可以可以可以可以可以可以可以可以可以可以可以可以可以可以
A01,2020/8/8,1.小火车很值得坐，缆车不太值得玩。2.动物园里的项目越来越多了。3.从北门进，从南门出，这样正好坐免费穿梭车去大马戏，非常方便。4.大马戏表演很精彩，很多精彩表演，超级赞！
A01,2020/5/31,18点就清场了，各位小哥哥小姐姐要玩就早点去。 网上买票换成二维码就不用取票出来，直接刷二维码进园区。 想下个月再去一起。组队中
A01,2020/7/7,**整体感觉三个字，超级好！欢乐世界稍微有一点热，想玩全部项目的需要一整天时间，六月底去人还不算太多，园内听说是当天一万人。中午大家吃饭的点儿大型项目排队的人比较少，基本去了就能玩。玩了自由落体，很刺激，还好时间短。看到垂直过山车到了快毕园的时候人也不多了。孩子不到一米三，但能玩的也不少，不过建议挑一些重点的玩，要不比较浪费时间。七点准时闭园，连卖水的有售货员也不买了。食物还是蛮贵的，基本一个人吃饱得七八十左右，我们四个人一顿饭就是两百多。水8元到12元不等。院内三个项目需要雨衣，可以十五元购买，自己带的话建议带直接套头的那种，不要带前面开口像衣服款的。水上乐园夜场去的，人超级多，换衣服存包都要排队。自带洗浴用品，建议带压缩浴巾哦(--`)，很好用。水上世界要看好孩子，人多孩子多，紧盯住孩子哦。玩了小喇叭。
A01,2020/12/21,动物园里有什么，小凶许，大脑福，这次动物园太好玩呢，周内去的人都特别多，几几乎都是大人带着小孩子，里面特别大，带小^_^小孩子一定要推BB车噢，或者门口就有租BB车，100块钱，还有租轮椅的50块钱。先坐缆车空中游览一圈然后坐小火车，再自行去转悠，虽然门票不便宜，但是里面的缆车小火车都是免费的噢，很棒！如果住在广州可以年卡非常划算啊，600多一位，个子不足一米五免票啊，很棒的动物园
A01,2020/10/6,提前一天在网上订票，早上9点半开门（游玩的项目很多早点到），坐地铁3号线到汉溪**下步行10分钟就到了（方便好找），带小孩的家长要注意有些游玩的项目身高1米4以下和身高不足1米的小朋友不能玩！里面的游玩项目有针对大人的和小朋友的，中午12点下午3点和5点有特技表演直的一看很有意思，节假日去游玩要做好排队的准备，整体来说还是挺有意思的。
A01,2020/5/12,一个令人心动的地方！这里有野生动物世界，有欢乐水世界，有马戏表演，有游乐场。**把番禺区的一个村变成了全国的乐园度假区。而且这里的酒店也十分热闹，熊猫酒店节假期间要4-5千元一间，还一房难求！令人咋舌！好处是凭酒店房卡可以在所有游玩点走快速通道，减少排队时间，也是一种待遇！
A01,2020/11/25,挺好的！人多热闹项目多
A01,2020/11/23,这次带孩子出行真的挺开心的
A01,2020/11/6,整体没有想象的那么好，而且好像双人票还比两张单人票贵
A01,2020/4/3,如果你住在汉溪**地铁站附近，可以从G出口过D出口，一出来就是欢乐世界南门附近，门口就有电子取票处，非常方便快捷。个人认为，最好先看看旅游攻略，做出一个计划，毕竟欢乐世界并不小，如果想游玩全部景点，时间还是蛮紧凑的。一进**欢乐世界就玩十环过山车，当过山车反倒过来的时候，那种失重感，真的让人心慌。整体玩下来其实是有点腻的，因为都是火山车的类型，要么转啊转，要么一上一下，可能是年纪大了，没有孩子们这样激动兴奋。
A01,2020/9/28,不错，推荐带孩子一块去
A01,2020/10/12,三园区的联票还是比较方便的，但也让人有点郁闷。我们家小孩没有一米，碰见个傻子验票员，硬要给她量身高，行，咱量，穿着鞋子都没有一米，她脑残量完一遍居然说脱鞋子再量一遍，我是又好笑又好气。旁边的游客都在骂她，问她数学怎么学的，智商堪忧啊！
A01,2020/3/29,夜间水上世界没那么多人，每个项目排队不超过15分钟，很爽。而且不冷。超级造浪池晚上友电音节，好玩。
A01,2020/8/27,优惠力度不如成人，但是进去玩一天这个价是值回来的！
A01,2020/2/3,在**动物园门口自助换票机换票，使用很方便，换票之后就可以直接入园，提醒一下大家，进园的时候安检还是比较严格的，食物和自拍杆不允许带进去景区，饮用水可以带，园区内吃饭的餐厅都可以自助加开水，带个大的保温瓶非常有必要。网上买的家庭套票比在景区买要便宜个四五十块还是很划算的。园区入口处可以免费寄存行李，之前听说寄存行李你要收费，实际是不用的，免费寄存，**的服务还是很好的。停车场有免费的接驳巴士到南区北区门口或者是到地铁站。园区内的缆车现在是免费乘坐的，如果坐环线的话需要排队半小时以上，如果是做单程的排队大概只需要15分钟，我们选择了坐单程这样的话回来的时候步行游玩一个个场馆，正好不会太浪费时间。北门的小火车九点半就开始运行，缆车的话要到十点半才开通，我们9点50到北门然后先去坐了小火车，小火车坐45分钟之后再排队坐缆车到南门然后从南门开始游玩一路往北走这基本上每个场馆都可以玩一遍，下午大概四点钟的时候回到北门缆车乘车处发现缆车已经大排长龙，很多人应该是先玩场馆之后再坐缆车但是我们一进园先坐小火车再坐缆车然后最后完场馆看动物这是比较明智的，因为下午小火车和缆车在4：30以后就会先后停运，这样四点左右去排队其实不一定能坐得到了。而玩场馆是不用排队的。至于各场演出其实我们没有怎么看，只看了白虎跳水觉得好像是比较一般的，去过了珠海**觉得珠海**的演出表演都是很好的但是广州**景区就有没有什么表演值得看看的，所以就没有花时间去跟着表演的时间去看场馆。
A01,2020/2/16,周五逃课跟朋友在广州集合！终于如愿以偿的到达欢乐世界。学生票198 需要出示相关证件（校卡或者录取通知书），另外一定要带身份证身份证身份证！办完之后我们就直奔垂直过山车，刚开始吓得手心直冒汗，玩完之后发现不那么害怕了，我们几个索性把所有过山车玩完，导致晚上睡觉还觉得自己在过山车上，心飘飘的。最后一个过山车玩的是激流涌进，真的非常的爽，虽然全身湿透，不足就是没有行李寄存，要直接抱着包包，深圳**都有行李寄存的地方。另外还有几个3D电影也是蛮有意思，早上十一点进场，晚上看完蹦迪八点左右闭馆，除了跳楼机没玩其他都差不多打卡了（取决于当天人多不多）。 啊啊啊景区的东西真是太贵了，早上吃饱一点吧，不然里面一份饭70-80，矿泉水10，烤热狗20
A01,2020/8/4,景区差不多，票价偏贵了。大马戏比较精彩，八点的场次，6点40才能检票进入，我们6点多看看人多起来就等了，进去位置很不错，所以还是早早等。拿票动物园北门拿着猫和老鼠旗帜的人就可以，他们工作人员很多，找到他们就行了。
